full_date,year,quarter,month,month_number,day_name,is_weekend,seasons,festival season
31.05.2024,2024,Q2,May,5,Friday,No,Summer,Regular
01.06.2024,2024,Q2,June,6,Saturday,Yes,Monsoon,Regular
02.06.2024,2024,Q2,June,6,Sunday,Yes,Monsoon,Regular
03.06.2024,2024,Q2,June,6,Monday,No,Monsoon,Regular
04.06.2024,2024,Q2,June,6,Tuesday,No,Monsoon,Regular
05.06.2024,2024,Q2,June,6,Wednesday,No,Monsoon,Regular
06.06.2024,2024,Q2,June,6,Thursday,No,Monsoon,Regular
07.06.2024,2024,Q2,June,6,Friday,No,Monsoon,Regular
08.06.2024,2024,Q2,June,6,Saturday,Yes,Monsoon,Regular
09.06.2024,2024,Q2,June,6,Sunday,Yes,Monsoon,Regular
10.06.2024,2024,Q2,June,6,Monday,No,Monsoon,Regular
11.06.2024,2024,Q2,June,6,Tuesday,No,Monsoon,Regular
12.06.2024,2024,Q2,June,6,Wednesday,No,Monsoon,Regular
13.06.2024,2024,Q2,June,6,Thursday,No,Monsoon,Regular
14.06.2024,2024,Q2,June,6,Friday,No,Monsoon,Regular
15.06.2024,2024,Q2,June,6,Saturday,Yes,Monsoon,Regular
16.06.2024,2024,Q2,June,6,Sunday,Yes,Monsoon,Regular
17.06.2024,2024,Q2,June,6,Monday,No,Monsoon,Regular
18.06.2024,2024,Q2,June,6,Tuesday,No,Monsoon,Regular
19.06.2024,2024,Q2,June,6,Wednesday,No,Monsoon,Regular
20.06.2024,2024,Q2,June,6,Thursday,No,Monsoon,Regular
21.06.2024,2024,Q2,June,6,Friday,No,Monsoon,Regular
22.06.2024,2024,Q2,June,6,Saturday,Yes,Monsoon,Regular
23.06.2024,2024,Q2,June,6,Sunday,Yes,Monsoon,Regular
24.06.2024,2024,Q2,June,6,Monday,No,Monsoon,Regular
25.06.2024,2024,Q2,June,6,Tuesday,No,Monsoon,Regular
26.06.2024,2024,Q2,June,6,Wednesday,No,Monsoon,Regular
27.06.2024,2024,Q2,June,6,Thursday,No,Monsoon,Regular
28.06.2024,2024,Q2,June,6,Friday,No,Monsoon,Regular
29.06.2024,2024,Q2,June,6,Saturday,Yes,Monsoon,Regular
30.06.2024,2024,Q2,June,6,Sunday,Yes,Monsoon,Regular
01.07.2024,2024,Q3,July,7,Monday,No,Monsoon,Regular
02.07.2024,2024,Q3,July,7,Tuesday,No,Monsoon,Regular
03.07.2024,2024,Q3,July,7,Wednesday,No,Monsoon,Regular
04.07.2024,2024,Q3,July,7,Thursday,No,Monsoon,Regular
05.07.2024,2024,Q3,July,7,Friday,No,Monsoon,Regular
06.07.2024,2024,Q3,July,7,Saturday,Yes,Monsoon,Regular
07.07.2024,2024,Q3,July,7,Sunday,Yes,Monsoon,Regular
08.07.2024,2024,Q3,July,7,Monday,No,Monsoon,Regular
09.07.2024,2024,Q3,July,7,Tuesday,No,Monsoon,Regular
10.07.2024,2024,Q3,July,7,Wednesday,No,Monsoon,Regular
11.07.2024,2024,Q3,July,7,Thursday,No,Monsoon,Regular
12.07.2024,2024,Q3,July,7,Friday,No,Monsoon,Regular
13.07.2024,2024,Q3,July,7,Saturday,Yes,Monsoon,Regular
14.07.2024,2024,Q3,July,7,Sunday,Yes,Monsoon,Regular
15.07.2024,2024,Q3,July,7,Monday,No,Monsoon,Regular
16.07.2024,2024,Q3,July,7,Tuesday,No,Monsoon,Regular
17.07.2024,2024,Q3,July,7,Wednesday,No,Monsoon,Regular
18.07.2024,2024,Q3,July,7,Thursday,No,Monsoon,Regular
19.07.2024,2024,Q3,July,7,Friday,No,Monsoon,Regular
20.07.2024,2024,Q3,July,7,Saturday,Yes,Monsoon,Regular
21.07.2024,2024,Q3,July,7,Sunday,Yes,Monsoon,Regular
22.07.2024,2024,Q3,July,7,Monday,No,Monsoon,Regular
23.07.2024,2024,Q3,July,7,Tuesday,No,Monsoon,Regular
24.07.2024,2024,Q3,July,7,Wednesday,No,Monsoon,Regular
25.07.2024,2024,Q3,July,7,Thursday,No,Monsoon,Regular
26.07.2024,2024,Q3,July,7,Friday,No,Monsoon,Regular
27.07.2024,2024,Q3,July,7,Saturday,Yes,Monsoon,Regular
28.07.2024,2024,Q3,July,7,Sunday,Yes,Monsoon,Regular
29.07.2024,2024,Q3,July,7,Monday,No,Monsoon,Regular
30.07.2024,2024,Q3,July,7,Tuesday,No,Monsoon,Regular
31.07.2024,2024,Q3,July,7,Wednesday,No,Monsoon,Regular
01.08.2024,2024,Q3,August,8,Thursday,No,Monsoon,Regular
02.08.2024,2024,Q3,August,8,Friday,No,Monsoon,Regular
03.08.2024,2024,Q3,August,8,Saturday,Yes,Monsoon,Regular
04.08.2024,2024,Q3,August,8,Sunday,Yes,Monsoon,Regular
05.08.2024,2024,Q3,August,8,Monday,No,Monsoon,Regular
06.08.2024,2024,Q3,August,8,Tuesday,No,Monsoon,Regular
07.08.2024,2024,Q3,August,8,Wednesday,No,Monsoon,Regular
08.08.2024,2024,Q3,August,8,Thursday,No,Monsoon,Regular
09.08.2024,2024,Q3,August,8,Friday,No,Monsoon,Regular
10.08.2024,2024,Q3,August,8,Saturday,Yes,Monsoon,Regular
11.08.2024,2024,Q3,August,8,Sunday,Yes,Monsoon,Regular
12.08.2024,2024,Q3,August,8,Monday,No,Monsoon,Regular
13.08.2024,2024,Q3,August,8,Tuesday,No,Monsoon,Regular
14.08.2024,2024,Q3,August,8,Wednesday,No,Monsoon,Regular
15.08.2024,2024,Q3,August,8,Thursday,No,Monsoon,Regular
16.08.2024,2024,Q3,August,8,Friday,No,Monsoon,Regular
17.08.2024,2024,Q3,August,8,Saturday,Yes,Monsoon,Regular
18.08.2024,2024,Q3,August,8,Sunday,Yes,Monsoon,Regular
19.08.2024,2024,Q3,August,8,Monday,No,Monsoon,Regular
20.08.2024,2024,Q3,August,8,Tuesday,No,Monsoon,Regular
21.08.2024,2024,Q3,August,8,Wednesday,No,Monsoon,Regular
22.08.2024,2024,Q3,August,8,Thursday,No,Monsoon,Regular
23.08.2024,2024,Q3,August,8,Friday,No,Monsoon,Regular
24.08.2024,2024,Q3,August,8,Saturday,Yes,Monsoon,Regular
25.08.2024,2024,Q3,August,8,Sunday,Yes,Monsoon,Regular
26.08.2024,2024,Q3,August,8,Monday,No,Monsoon,Regular
27.08.2024,2024,Q3,August,8,Tuesday,No,Monsoon,Regular
28.08.2024,2024,Q3,August,8,Wednesday,No,Monsoon,Regular
29.08.2024,2024,Q3,August,8,Thursday,No,Monsoon,Regular
30.08.2024,2024,Q3,August,8,Friday,No,Monsoon,Regular
31.08.2024,2024,Q3,August,8,Saturday,Yes,Monsoon,Regular
01.09.2024,2024,Q3,September,9,Sunday,Yes,Monsoon,Regular
02.09.2024,2024,Q3,September,9,Monday,No,Monsoon,Regular
03.09.2024,2024,Q3,September,9,Tuesday,No,Monsoon,Regular
04.09.2024,2024,Q3,September,9,Wednesday,No,Monsoon,Regular
05.09.2024,2024,Q3,September,9,Thursday,No,Monsoon,Regular
06.09.2024,2024,Q3,September,9,Friday,No,Monsoon,Regular
07.09.2024,2024,Q3,September,9,Saturday,Yes,Monsoon,Regular
08.09.2024,2024,Q3,September,9,Sunday,Yes,Monsoon,Regular
09.09.2024,2024,Q3,September,9,Monday,No,Monsoon,Regular
10.09.2024,2024,Q3,September,9,Tuesday,No,Monsoon,Regular
11.09.2024,2024,Q3,September,9,Wednesday,No,Monsoon,Regular
12.09.2024,2024,Q3,September,9,Thursday,No,Monsoon,Regular
13.09.2024,2024,Q3,September,9,Friday,No,Monsoon,Regular
14.09.2024,2024,Q3,September,9,Saturday,Yes,Monsoon,Regular
15.09.2024,2024,Q3,September,9,Sunday,Yes,Monsoon,Regular
16.09.2024,2024,Q3,September,9,Monday,No,Monsoon,Regular
17.09.2024,2024,Q3,September,9,Tuesday,No,Monsoon,Regular
18.09.2024,2024,Q3,September,9,Wednesday,No,Monsoon,Regular
19.09.2024,2024,Q3,September,9,Thursday,No,Monsoon,Regular
20.09.2024,2024,Q3,September,9,Friday,No,Monsoon,Regular
21.09.2024,2024,Q3,September,9,Saturday,Yes,Monsoon,Regular
22.09.2024,2024,Q3,September,9,Sunday,Yes,Monsoon,Regular
23.09.2024,2024,Q3,September,9,Monday,No,Monsoon,Regular
24.09.2024,2024,Q3,September,9,Tuesday,No,Monsoon,Regular
25.09.2024,2024,Q3,September,9,Wednesday,No,Monsoon,Regular
26.09.2024,2024,Q3,September,9,Thursday,No,Monsoon,Regular
27.09.2024,2024,Q3,September,9,Friday,No,Monsoon,Regular
28.09.2024,2024,Q3,September,9,Saturday,Yes,Monsoon,Regular
29.09.2024,2024,Q3,September,9,Sunday,Yes,Monsoon,Regular
30.09.2024,2024,Q3,September,9,Monday,No,Monsoon,Regular
01.10.2024,2024,Q4,October,10,Tuesday,No,Autumn,Festive
02.10.2024,2024,Q4,October,10,Wednesday,No,Autumn,Festive
03.10.2024,2024,Q4,October,10,Thursday,No,Autumn,Festive
04.10.2024,2024,Q4,October,10,Friday,No,Autumn,Festive
05.10.2024,2024,Q4,October,10,Saturday,Yes,Autumn,Festive
06.10.2024,2024,Q4,October,10,Sunday,Yes,Autumn,Festive
07.10.2024,2024,Q4,October,10,Monday,No,Autumn,Festive
08.10.2024,2024,Q4,October,10,Tuesday,No,Autumn,Festive
09.10.2024,2024,Q4,October,10,Wednesday,No,Autumn,Festive
10.10.2024,2024,Q4,October,10,Thursday,No,Autumn,Festive
11.10.2024,2024,Q4,October,10,Friday,No,Autumn,Festive
12.10.2024,2024,Q4,October,10,Saturday,Yes,Autumn,Festive
13.10.2024,2024,Q4,October,10,Sunday,Yes,Autumn,Festive
14.10.2024,2024,Q4,October,10,Monday,No,Autumn,Festive
15.10.2024,2024,Q4,October,10,Tuesday,No,Autumn,Festive
16.10.2024,2024,Q4,October,10,Wednesday,No,Autumn,Festive
17.10.2024,2024,Q4,October,10,Thursday,No,Autumn,Festive
18.10.2024,2024,Q4,October,10,Friday,No,Autumn,Festive
19.10.2024,2024,Q4,October,10,Saturday,Yes,Autumn,Festive
20.10.2024,2024,Q4,October,10,Sunday,Yes,Autumn,Festive
21.10.2024,2024,Q4,October,10,Monday,No,Autumn,Festive
22.10.2024,2024,Q4,October,10,Tuesday,No,Autumn,Festive
23.10.2024,2024,Q4,October,10,Wednesday,No,Autumn,Festive
24.10.2024,2024,Q4,October,10,Thursday,No,Autumn,Festive
25.10.2024,2024,Q4,October,10,Friday,No,Autumn,Festive
26.10.2024,2024,Q4,October,10,Saturday,Yes,Autumn,Festive
27.10.2024,2024,Q4,October,10,Sunday,Yes,Autumn,Festive
28.10.2024,2024,Q4,October,10,Monday,No,Autumn,Festive
29.10.2024,2024,Q4,October,10,Tuesday,No,Autumn,Festive
30.10.2024,2024,Q4,October,10,Wednesday,No,Autumn,Festive
31.10.2024,2024,Q4,October,10,Thursday,No,Autumn,Festive
01.11.2024,2024,Q4,November,11,Friday,No,Autumn,Festive
02.11.2024,2024,Q4,November,11,Saturday,Yes,Autumn,Festive
03.11.2024,2024,Q4,November,11,Sunday,Yes,Autumn,Festive
04.11.2024,2024,Q4,November,11,Monday,No,Autumn,Festive
05.11.2024,2024,Q4,November,11,Tuesday,No,Autumn,Festive
06.11.2024,2024,Q4,November,11,Wednesday,No,Autumn,Festive
07.11.2024,2024,Q4,November,11,Thursday,No,Autumn,Festive
08.11.2024,2024,Q4,November,11,Friday,No,Autumn,Festive
09.11.2024,2024,Q4,November,11,Saturday,Yes,Autumn,Festive
10.11.2024,2024,Q4,November,11,Sunday,Yes,Autumn,Festive
11.11.2024,2024,Q4,November,11,Monday,No,Autumn,Festive
12.11.2024,2024,Q4,November,11,Tuesday,No,Autumn,Festive
13.11.2024,2024,Q4,November,11,Wednesday,No,Autumn,Festive
14.11.2024,2024,Q4,November,11,Thursday,No,Autumn,Festive
15.11.2024,2024,Q4,November,11,Friday,No,Autumn,Festive
16.11.2024,2024,Q4,November,11,Saturday,Yes,Autumn,Festive
17.11.2024,2024,Q4,November,11,Sunday,Yes,Autumn,Festive
18.11.2024,2024,Q4,November,11,Monday,No,Autumn,Festive
19.11.2024,2024,Q4,November,11,Tuesday,No,Autumn,Festive
20.11.2024,2024,Q4,November,11,Wednesday,No,Autumn,Festive
21.11.2024,2024,Q4,November,11,Thursday,No,Autumn,Festive
22.11.2024,2024,Q4,November,11,Friday,No,Autumn,Festive
23.11.2024,2024,Q4,November,11,Saturday,Yes,Autumn,Festive
24.11.2024,2024,Q4,November,11,Sunday,Yes,Autumn,Festive
25.11.2024,2024,Q4,November,11,Monday,No,Autumn,Festive
26.11.2024,2024,Q4,November,11,Tuesday,No,Autumn,Festive
27.11.2024,2024,Q4,November,11,Wednesday,No,Autumn,Festive
28.11.2024,2024,Q4,November,11,Thursday,No,Autumn,Festive
29.11.2024,2024,Q4,November,11,Friday,No,Autumn,Festive
30.11.2024,2024,Q4,November,11,Saturday,Yes,Autumn,Festive
01.12.2024,2024,Q4,December,12,Sunday,Yes,Winter,Festive
02.12.2024,2024,Q4,December,12,Monday,No,Winter,Festive
03.12.2024,2024,Q4,December,12,Tuesday,No,Winter,Festive
04.12.2024,2024,Q4,December,12,Wednesday,No,Winter,Festive
05.12.2024,2024,Q4,December,12,Thursday,No,Winter,Festive
06.12.2024,2024,Q4,December,12,Friday,No,Winter,Festive
07.12.2024,2024,Q4,December,12,Saturday,Yes,Winter,Festive
08.12.2024,2024,Q4,December,12,Sunday,Yes,Winter,Festive
09.12.2024,2024,Q4,December,12,Monday,No,Winter,Festive
10.12.2024,2024,Q4,December,12,Tuesday,No,Winter,Festive
11.12.2024,2024,Q4,December,12,Wednesday,No,Winter,Festive
12.12.2024,2024,Q4,December,12,Thursday,No,Winter,Festive
13.12.2024,2024,Q4,December,12,Friday,No,Winter,Festive
14.12.2024,2024,Q4,December,12,Saturday,Yes,Winter,Festive
15.12.2024,2024,Q4,December,12,Sunday,Yes,Winter,Festive
16.12.2024,2024,Q4,December,12,Monday,No,Winter,Festive
17.12.2024,2024,Q4,December,12,Tuesday,No,Winter,Festive
18.12.2024,2024,Q4,December,12,Wednesday,No,Winter,Festive
19.12.2024,2024,Q4,December,12,Thursday,No,Winter,Festive
20.12.2024,2024,Q4,December,12,Friday,No,Winter,Festive
21.12.2024,2024,Q4,December,12,Saturday,Yes,Winter,Festive
22.12.2024,2024,Q4,December,12,Sunday,Yes,Winter,Festive
23.12.2024,2024,Q4,December,12,Monday,No,Winter,Festive
24.12.2024,2024,Q4,December,12,Tuesday,No,Winter,Festive
25.12.2024,2024,Q4,December,12,Wednesday,No,Winter,Festive
26.12.2024,2024,Q4,December,12,Thursday,No,Winter,Festive
27.12.2024,2024,Q4,December,12,Friday,No,Winter,Festive
28.12.2024,2024,Q4,December,12,Saturday,Yes,Winter,Festive
29.12.2024,2024,Q4,December,12,Sunday,Yes,Winter,Festive
30.12.2024,2024,Q4,December,12,Monday,No,Winter,Festive
31.12.2024,2024,Q4,December,12,Tuesday,No,Winter,Festive
01.01.2025,2025,Q1,January,1,Wednesday,No,Winter,Regular
02.01.2025,2025,Q1,January,1,Thursday,No,Winter,Regular
03.01.2025,2025,Q1,January,1,Friday,No,Winter,Regular
04.01.2025,2025,Q1,January,1,Saturday,Yes,Winter,Regular
05.01.2025,2025,Q1,January,1,Sunday,Yes,Winter,Regular
06.01.2025,2025,Q1,January,1,Monday,No,Winter,Regular
07.01.2025,2025,Q1,January,1,Tuesday,No,Winter,Regular
08.01.2025,2025,Q1,January,1,Wednesday,No,Winter,Regular
09.01.2025,2025,Q1,January,1,Thursday,No,Winter,Regular
10.01.2025,2025,Q1,January,1,Friday,No,Winter,Regular
11.01.2025,2025,Q1,January,1,Saturday,Yes,Winter,Regular
12.01.2025,2025,Q1,January,1,Sunday,Yes,Winter,Regular
13.01.2025,2025,Q1,January,1,Monday,No,Winter,Regular
14.01.2025,2025,Q1,January,1,Tuesday,No,Winter,Regular
15.01.2025,2025,Q1,January,1,Wednesday,No,Winter,Regular
16.01.2025,2025,Q1,January,1,Thursday,No,Winter,Regular
17.01.2025,2025,Q1,January,1,Friday,No,Winter,Regular
18.01.2025,2025,Q1,January,1,Saturday,Yes,Winter,Regular
19.01.2025,2025,Q1,January,1,Sunday,Yes,Winter,Regular
20.01.2025,2025,Q1,January,1,Monday,No,Winter,Regular
21.01.2025,2025,Q1,January,1,Tuesday,No,Winter,Regular
22.01.2025,2025,Q1,January,1,Wednesday,No,Winter,Regular
23.01.2025,2025,Q1,January,1,Thursday,No,Winter,Regular
24.01.2025,2025,Q1,January,1,Friday,No,Winter,Regular
25.01.2025,2025,Q1,January,1,Saturday,Yes,Winter,Regular
26.01.2025,2025,Q1,January,1,Sunday,Yes,Winter,Regular
27.01.2025,2025,Q1,January,1,Monday,No,Winter,Regular
28.01.2025,2025,Q1,January,1,Tuesday,No,Winter,Regular
29.01.2025,2025,Q1,January,1,Wednesday,No,Winter,Regular
30.01.2025,2025,Q1,January,1,Thursday,No,Winter,Regular
31.01.2025,2025,Q1,January,1,Friday,No,Winter,Regular
01.02.2025,2025,Q1,February,2,Saturday,Yes,Winter,Regular
02.02.2025,2025,Q1,February,2,Sunday,Yes,Winter,Regular
03.02.2025,2025,Q1,February,2,Monday,No,Winter,Regular
04.02.2025,2025,Q1,February,2,Tuesday,No,Winter,Regular
05.02.2025,2025,Q1,February,2,Wednesday,No,Winter,Regular
06.02.2025,2025,Q1,February,2,Thursday,No,Winter,Regular
07.02.2025,2025,Q1,February,2,Friday,No,Winter,Regular
08.02.2025,2025,Q1,February,2,Saturday,Yes,Winter,Regular
