inventory_id,product_id,store_id,stock_received,stock_sold,current_stock,reorder_level,inventory_date
INV00186,PROD0055,STR015,55,69,51,69.0,2024-11-22
INV00187,PROD0231,STR003,141,133,368,49.0,2025-02-07
INV00188,PROD0227,STR007,230,171,100,18.0,2024-09-09
INV00189,PROD0091,STR015,176,206,166,61.0,2024-12-05
INV00190,PROD0134,STR007,245,108,100,55.0,2025-09-24
INV00191,PROD0007,STR010,460,1,191,41.0,2025-02-09
INV00192,PROD0242,STR006,430,121,209,26.0,2025-01-16
INV00193,PROD0226,STR006,448,81,223,11.0,2025-01-30
INV00194,PROD0119,STR003,23,107,1,12.0,2024-08-18
INV00195,PROD0041,STR009,24,160,136,21.0,2024-10-25
INV00196,PROD0074,STR007,293,239,131,48.0,2024-07-16
INV00197,PROD0236,STR005,423,127,26,36.0,2024-11-25
INV00198,PROD0209,STR011,308,237,145,34.0,2025-10-27
INV00199,PROD0233,STR015,200,67,394,42.0,2025-11-20
INV00200,PROD0067,STR006,483,50,159,24.0,2025-05-23
INV00201,PROD0125,STR010,370,52,268,34.0,2024-02-21
INV00202,PROD0071,STR003,381,61,361,66.0,2025-10-17
INV00203,PROD0147,STR015,322,286,69,56.0,2024-01-31
INV00204,PROD0226,STR014,376,236,243,69.0,2024-04-12
INV00205,PROD0177,STR005,283,115,103,53.0,2024-12-04
INV00206,PROD0183,STR009,104,13,179,58.0,2025-11-28
INV00207,PROD0192,STR001,108,63,211,71.0,2024-08-07
INV00208,PROD0066,STR010,235,116,241,47.0,2025-09-25
INV00209,PROD0115,STR012,476,29,22,42.0,2024-03-28
INV00210,PROD0199,STR005,57,79,92,76.0,2025-06-08
INV00211,PROD0241,STR008,240,97,398,15.0,2024-03-02
INV00212,PROD0241,STR007,27,219,387,29.0,2025-08-02
INV00213,PROD0149,STR012,216,236,42,42.0,2024-08-21
INV00214,PROD0214,STR004,183,62,208,12.0,2024-04-14
INV00215,PROD0220,STR010,101,4,271,73.0,2025-01-14
INV00216,PROD0150,STR009,157,47,41,21.0,2025-07-24
INV00217,PROD0235,STR006,98,48,114,46.0,2025-08-13
INV00218,PROD0013,STR009,306,59,387,76.0,2024-03-23
INV00219,PROD0006,STR012,130,105,121,30.0,2025-09-01
INV00220,PROD0041,STR013,74,115,228,65.0,2025-03-07
INV00221,PROD0216,STR006,42,142,352,51.0,2024-07-16
INV00222,PROD0004,STR010,177,155,124,79.0,2024-08-06
INV00223,PROD0227,STR010,161,50,183,10.0,2024-01-12
INV00224,PROD0080,STR005,316,109,123,20.0,2024-09-19
INV00225,PROD0152,STR015,306,150,29,57.0,2025-04-23
INV00226,PROD0221,STR010,365,151,64,14.0,2025-06-05
INV00227,PROD0145,STR004,99,145,315,33.0,2025-10-24
INV00228,PROD0033,STR010,326,206,309,37.0,2024-03-28
INV00229,PROD0196,STR005,276,122,121,21.0,2025-01-22
INV00230,PROD0131,STR003,75,227,368,74.0,2025-05-05
INV00231,PROD0153,STR005,111,111,112,48.0,2024-07-14
INV00232,PROD0093,STR002,362,68,47,15.0,2025-08-28
INV00233,PROD0170,STR001,100,70,192,49.0,2025-08-30
INV00234,PROD0244,STR015,425,164,40,39.0,2024-05-29
INV00235,PROD0136,STR005,233,63,257,67.0,2024-07-08
INV00236,PROD0078,STR015,360,177,1,48.0,2024-09-08
INV00237,PROD0186,STR010,441,249,172,74.0,2025-08-23
INV00238,PROD0119,STR013,168,53,286,33.0,2024-05-06
INV00239,PROD0059,STR015,464,265,124,55.0,2024-02-20
INV00240,PROD0197,STR005,33,269,341,72.0,2025-09-10
INV00241,PROD0204,STR008,166,123,173,21.0,2025-11-20
INV00242,PROD0063,STR011,264,58,34,77.0,2025-08-02
INV00243,PROD0118,STR005,36,132,175,69.0,2024-12-22
INV00244,PROD0074,STR007,73,101,249,25.0,2025-05-10
INV00245,PROD0052,STR002,217,199,194,68.0,2024-01-30
INV00246,PROD0163,STR005,179,295,239,10.0,2024-08-01
INV00247,PROD0084,STR012,254,148,369,50.0,2025-10-06
INV00248,PROD0070,STR009,283,95,293,79.0,2025-01-24
INV00249,PROD0038,STR003,135,139,340,11.0,2025-03-09
INV00250,PROD0203,STR004,311,39,52,68.0,2025-04-14
INV00251,PROD0080,STR010,42,240,163,45.0,2025-11-27
INV00252,PROD0195,STR007,272,145,187,59.0,2024-09-22
INV00253,PROD0217,STR003,366,278,72,77.0,2025-09-03
INV00254,PROD0239,STR009,114,50,252,59.0,2024-05-06
INV00255,PROD0104,STR012,149,178,9,11.0,2024-08-16
INV00256,PROD0095,STR015,342,213,145,67.0,2024-07-29
INV00257,PROD0110,STR008,60,18,43,29.0,2025-06-18
INV00258,PROD0127,STR014,84,71,324,11.0,2025-08-23
INV00259,PROD0110,STR014,99,85,320,44.0,2025-02-07
INV00260,PROD0194,STR013,368,109,195,78.0,2024-04-19
INV00261,PROD0051,STR006,357,267,53,45.0,2025-01-11
INV00262,PROD0102,STR015,237,204,159,13.0,2024-07-16
INV00263,PROD0139,STR005,494,157,267,16.0,2025-11-13
INV00264,PROD0058,STR009,170,162,272,75.0,2025-10-19
INV00265,PROD0097,STR010,344,251,377,23.0,2025-11-22
INV00266,PROD0044,STR008,259,14,174,73.0,2024-10-27
INV00267,PROD0056,STR007,275,154,160,35.0,2025-02-13
INV00268,PROD0155,STR009,495,197,56,51.0,2025-06-23
INV00269,PROD0133,STR011,490,199,26,66.0,2025-08-23
INV00270,PROD0010,STR004,48,66,331,46.0,2024-11-18
INV00271,PROD0239,STR006,467,234,43,33.0,2025-05-10
INV00272,PROD0050,STR013,304,229,107,17.0,2024-09-07
INV00273,PROD0079,STR012,273,156,125,31.0,2025-03-25
INV00274,PROD0059,STR014,115,221,25,77.0,2025-08-25
INV00275,PROD0025,STR015,477,291,397,30.0,2024-05-10
INV00276,PROD0216,STR014,231,17,29,60.0,2024-08-26
INV00277,PROD0183,STR011,458,161,342,74.0,2024-08-22
INV00278,PROD0106,STR011,195,98,66,33.0,2024-01-31
INV00279,PROD0174,STR007,347,6,389,66.0,2025-04-06
INV00280,PROD0184,STR006,29,215,351,65.0,2024-05-23
INV00281,PROD0011,STR008,68,230,128,33.0,2024-12-17
INV00282,PROD0130,STR012,300,224,309,41.0,2024-06-26
INV00283,PROD0024,STR014,137,53,204,36.0,2025-08-17
INV00284,PROD0243,STR005,71,288,229,52.0,2024-02-24
INV00285,PROD0151,STR004,63,292,111,36.0,2025-09-23
INV00286,PROD0196,STR001,473,278,306,70.0,2024-07-20
INV00287,PROD0048,STR013,460,170,82,25.0,2024-07-05
INV00288,PROD0224,STR001,145,3,201,55.0,2024-12-16
INV00289,PROD0139,STR009,319,127,386,48.0,2024-07-12
INV00290,PROD0197,STR009,303,121,290,49.0,2024-06-22
INV00291,PROD0204,STR005,143,7,384,47.0,2024-12-17
INV00292,PROD0137,STR001,237,203,280,36.0,2025-07-04
INV00293,PROD0050,STR014,361,44,62,67.0,2025-10-31
INV00294,PROD0174,STR004,122,101,93,53.0,2024-02-07
INV00295,PROD0094,STR008,480,53,289,23.0,2025-10-07
INV00296,PROD0141,STR005,63,165,90,47.0,2025-03-09
INV00297,PROD0088,STR001,438,149,26,14.0,2025-10-17
INV00298,PROD0048,STR003,118,136,308,13.0,2025-07-04
INV00299,PROD0138,STR006,337,114,35,16.0,2024-03-26
INV00300,PROD0136,STR002,202,102,56,49.0,2024-08-05
INV00301,PROD0076,STR002,154,112,103,29.0,2025-11-16
INV00302,PROD0095,STR009,221,19,338,68.0,2025-05-25
INV00303,PROD0236,STR008,23,116,328,48.0,2025-04-30
INV00304,PROD0180,STR008,117,209,298,36.0,2025-04-20
INV00305,PROD0245,STR014,405,210,385,54.0,2025-02-16
INV00306,PROD0065,STR012,393,20,254,62.0,2024-09-27
INV00307,PROD0070,STR010,50,236,134,42.0,2024-10-19
INV00308,PROD0100,STR011,461,120,345,41.0,2025-10-20
INV00309,PROD0245,STR011,420,181,158,25.0,2025-04-18
INV00310,PROD0178,STR011,174,212,220,57.0,2025-03-09
INV00311,PROD0159,STR012,93,80,167,28.0,2024-06-13
INV00312,PROD0112,STR013,368,2,180,13.0,2024-06-10
INV00313,PROD0179,STR002,351,244,315,52.0,2025-10-02
INV00314,PROD0136,STR010,38,181,376,59.0,2024-12-05
INV00315,PROD0036,STR009,311,74,248,12.0,2025-11-29
INV00316,PROD0013,STR005,444,231,58,43.0,2025-07-31
INV00317,PROD0079,STR004,194,250,306,71.0,2024-09-24
INV00318,PROD0065,STR012,217,240,126,33.0,2025-08-17
INV00319,PROD0148,STR002,330,186,350,47.0,2025-04-13
INV00320,PROD0036,STR010,194,67,202,76.0,2025-06-19
INV00321,PROD0050,STR008,416,7,74,64.0,2024-10-04
INV00322,PROD0146,STR011,385,185,7,50.0,2025-03-16
INV00323,PROD0170,STR004,26,287,300,41.0,2025-08-14
INV00324,PROD0245,STR001,63,180,356,47.0,2024-10-28
INV00325,PROD0178,STR012,45,197,236,61.0,2024-10-26
INV00326,PROD0238,STR010,477,128,21,66.0,2024-12-12
INV00327,PROD0031,STR013,171,107,399,65.0,2024-11-21
INV00328,PROD0009,STR010,403,221,293,39.0,2024-12-07
INV00329,PROD0153,STR006,342,252,390,63.0,2024-02-29
INV00330,PROD0153,STR013,347,223,241,29.0,2024-04-07
INV00331,PROD0085,STR005,129,91,16,37.0,2024-05-01
INV00332,PROD0055,STR005,330,200,319,71.0,2025-02-23
INV00333,PROD0081,STR011,354,167,363,69.0,2025-02-04
INV00334,PROD0086,STR014,479,170,201,66.0,2025-08-02
INV00335,PROD0246,STR003,110,14,248,75.0,2024-07-09
INV00336,PROD0107,STR013,95,179,360,28.0,2024-04-05
INV00337,PROD0129,STR002,271,69,293,64.0,2025-11-06
INV00338,PROD0204,STR002,471,66,180,30.0,2025-11-06
INV00339,PROD0091,STR010,241,247,246,42.0,2024-06-26
INV00340,PROD0139,STR005,101,27,184,59.0,2025-07-19
INV00341,PROD0226,STR011,417,114,13,50.0,2025-08-23
INV00342,PROD0161,STR007,479,155,361,51.0,2025-05-03
INV00343,PROD0164,STR006,217,224,276,30.0,2025-08-09
INV00344,PROD0051,STR015,36,258,32,33.0,2024-05-18
INV00345,PROD0028,STR013,342,188,217,21.0,2025-01-02
INV00346,PROD0193,STR009,379,34,83,64.0,2024-11-18
INV00347,PROD0233,STR014,434,172,360,28.0,2025-08-02
INV00348,PROD0042,STR001,120,226,280,57.0,2024-02-20
INV00349,PROD0168,STR006,104,227,353,41.0,2024-11-05
INV00350,PROD0249,STR013,39,27,12,79.0,2024-09-01
INV00351,PROD0036,STR009,326,212,158,67.0,2024-12-20
INV00352,PROD0022,STR004,150,135,377,48.0,2024-07-06
INV00353,PROD0217,STR007,482,200,43,11.0,2025-06-07
INV00354,PROD0231,STR003,234,161,147,44.0,2024-01-31
INV00355,PROD0239,STR008,208,234,124,53.0,2024-11-23
INV00356,PROD0244,STR003,490,176,153,74.0,2025-10-23
INV00357,PROD0236,STR001,488,7,319,16.0,2024-05-03
INV00358,PROD0034,STR011,482,80,211,11.0,2025-05-07
INV00359,PROD0157,STR002,38,11,262,32.0,2024-03-31
INV00360,PROD0118,STR011,169,27,314,51.0,2024-05-09
INV00361,PROD0103,STR002,441,260,170,64.0,2025-10-30
INV00362,PROD0131,STR015,342,178,358,16.0,2025-07-18
INV00363,PROD0159,STR005,180,197,55,15.0,2025-03-17
INV00364,PROD0139,STR011,300,104,358,45.0,2024-06-12
INV00365,PROD0136,STR013,77,20,241,24.0,2024-02-02
INV00366,PROD0082,STR011,436,216,292,46.0,2024-08-05
INV00367,PROD0019,STR011,396,153,283,71.0,2025-01-20
INV00368,PROD0049,STR002,46,41,348,19.0,2024-01-20
INV00369,PROD0191,STR008,96,210,204,66.0,2024-05-11
INV00370,PROD0055,STR012,247,263,391,59.0,2024-07-04
INV00371,PROD0002,STR009,209,51,222,56.0,2024-11-14
INV00372,PROD0047,STR014,79,63,175,45.0,2025-04-29
INV00373,PROD0215,STR002,111,83,65,43.0,2025-03-30
INV00374,PROD0045,STR014,364,115,70,47.0,2025-08-14
INV00375,PROD0007,STR004,456,265,286,10.0,2024-06-02
INV00376,PROD0073,STR003,48,43,231,72.0,2024-05-30
INV00377,PROD0073,STR008,271,233,131,46.0,2025-11-05
INV00378,PROD0162,STR001,429,195,380,18.0,2024-07-10
INV00379,PROD0246,STR003,411,212,44,54.0,2025-04-24
INV00380,PROD0108,STR005,430,230,27,25.0,2025-02-17
INV00381,PROD0012,STR009,123,173,166,22.0,2024-08-20
INV00382,PROD0158,STR003,321,217,41,79.0,2024-10-07
INV00383,PROD0216,STR009,87,24,25,32.0,2024-08-01
INV00384,PROD0236,STR006,418,252,280,56.0,2024-08-04
INV00385,PROD0229,STR013,134,0,296,23.0,2025-09-26
INV00386,PROD0165,STR014,426,282,378,63.0,2025-01-05
INV00387,PROD0248,STR010,274,235,274,11.0,2024-08-07
INV00388,PROD0207,STR009,121,94,338,76.0,2024-12-16
INV00389,PROD0004,STR006,91,127,200,59.0,2024-09-19
INV00390,PROD0043,STR004,49,72,177,24.0,2025-11-02
INV00391,PROD0243,STR010,116,79,66,15.0,2024-06-15
INV00392,PROD0145,STR011,303,284,53,57.0,2024-04-21
INV00393,PROD0185,STR005,173,240,5,20.0,2025-06-25
INV00394,PROD0076,STR010,366,208,375,49.0,2025-05-10
INV00395,PROD0190,STR013,117,61,271,53.0,2024-02-19
INV00396,PROD0208,STR012,173,288,281,67.0,2024-10-10
INV00397,PROD0032,STR002,422,286,62,58.0,2025-05-09
INV00398,PROD0090,STR014,116,166,149,48.0,2025-07-06
INV00399,PROD0030,STR007,250,36,21,25.0,2024-09-01
INV00400,PROD0224,STR012,453,74,263,44.0,2024-10-26
INV00401,PROD0138,STR014,363,4,391,24.0,2025-04-01
INV00402,PROD0061,STR007,224,237,366,38.0,2025-05-21
INV00403,PROD0092,STR004,333,87,326,19.0,2024-11-06
INV00404,PROD0045,STR002,273,164,304,68.0,2024-01-14
INV00405,PROD0237,STR005,88,253,305,46.0,2024-01-12
INV00406,PROD0091,STR005,186,194,126,58.0,2024-03-31
INV00407,PROD0222,STR014,245,137,191,69.0,2025-01-05
INV00408,PROD0118,STR011,288,267,236,56.0,2025-10-26
INV00409,PROD0036,STR013,332,20,162,66.0,2024-07-14
INV00410,PROD0064,STR004,482,32,55,11.0,2025-03-05
INV00411,PROD0121,STR004,119,187,179,45.0,2024-06-23
INV00412,PROD0237,STR012,369,97,123,75.0,2025-06-04
INV00413,PROD0103,STR001,233,243,77,63.0,2025-11-08
INV00414,PROD0062,STR003,408,252,56,32.0,2025-01-24
INV00415,PROD0094,STR006,228,262,206,17.0,2024-12-16
INV00416,PROD0247,STR006,66,277,368,50.0,2025-01-11
INV00417,PROD0162,STR008,487,143,283,61.0,2025-07-02
INV00418,PROD0246,STR002,452,24,171,30.0,2025-08-15
INV00419,PROD0158,STR015,303,73,384,13.0,2024-07-05
INV00420,PROD0114,STR011,230,182,352,78.0,2025-05-07
INV00421,PROD0086,STR014,486,116,123,40.0,2024-09-29
INV00422,PROD0082,STR007,157,161,323,22.0,2025-06-04
INV00423,PROD0247,STR008,225,102,143,13.0,2024-10-20
INV00424,PROD0164,STR008,274,292,31,57.0,2025-04-07
INV00425,PROD0078,STR013,190,54,231,44.0,2024-05-15
INV00426,PROD0153,STR004,308,198,198,45.0,2024-07-13
INV00427,PROD0192,STR014,347,207,226,73.0,2025-02-03
INV00428,PROD0091,STR002,277,176,186,61.0,2024-12-17
INV00429,PROD0096,STR007,482,212,204,73.0,2024-01-04
INV00430,PROD0189,STR005,315,255,82,73.0,2025-11-12
INV00431,PROD0146,STR009,366,194,130,75.0,2025-11-26
INV00432,PROD0226,STR010,454,205,393,28.0,2024-05-17
INV00433,PROD0089,STR010,233,247,98,27.0,2025-02-01
INV00434,PROD0233,STR010,363,117,9,74.0,2025-01-28
